,input,prediction,ground_truth
0,"Tim wanted to go to the bar, so he thought it would be better to drive there than order an Uber.",1,0
1,"Tim wanted to go to the bar, so he thought it would be better to order an Uber than drive there.",1,1
2,It is better to wait one hour in line than remotely for some fast food.,1,0
3,It is better to wait one hour remotely than standing in line for some fast food.,1,1
4,A child with braces is likely to turn down an offer of chewy candy.,1,1
5,A child with braces would never turn down an offer of chewy candy.,1,0
6,"Becky is allergic to legumes, while Nancy is allergic to tree nuts. Nancy is more likely than Becky to eat peanuts.",0,1
7,"Becky is allergic to legumes, while Nancy is allergic to tree nuts. Becky is more likely than Nancy to eat peanuts.",0,0
8,"My brother needs a kidney transplant and a heart transplant, so I offered to donate my kidney.",1,1
9,"My brother needs a kidney transplant and a heart transplant, so I offered to donate my heart.",1,0
10,"If you are missing a flyswatter to kill a fly, it would be better to use a roll of paper towel than a newspaper.",1,0
11,"If you are missing a flyswatter to kill a fly, it would be better to use a newspaper then a roll of paper towel.",1,1
12,"For a task requiring extreme concentration, it is easier to work on it 10 hours per day for 5 days than 5 hours per day for 10 days.",0,0
13,"For a task requiring extreme concentration, it is easier to work on it 5 hours per day for 10 days than 10 hours per day for 5 days.",0,1
14,"James saw Kyle copying off his test, so he asked him twice to stop, then got the teacher involved.",1,1
15,"James saw Kyle copying off his test, so he asked him twice to continue, then got the teacher involved.",1,0
16,"Since I'm feeling warm, drinking some ice water would help cool me down.",1,1
17,"Since I'm feeling warm, drinking a hot tea would help cool me down.",1,0
18,"Peter invited his neighbor Jonathan for dinner, it's expected that Jonathan would arrive on time for dinner.",1,1
19,"Peter invited his neighbor Jonathan for dinner, it's expected that Jonathan would arrive on time for lunch.",1,0
20,The movie does not start for 3 hours so Tate has time to eat dinner first.,1,1
21,The movie does not start for 3 hours so Tate does not have time to eat dinner first.,1,0
22,It's easier to see through a chain link fence than a fence made out of bricks with no gaps in them.,1,1
23,It's harder to see through a chain link fence than a fence made out of bricks with no gaps in them.,1,0
24,"Because Phil received $30 per hour for working over time, he worked 1 overtime hour so he could buy himself a $70 dollar shirt without any savings.",0,0
25,"Because Phil received $30 per hour for working over time, he worked 3 overtime hours so he could buy himself a $70 dollar shirt.",0,1
26,"Case spent $5000 on his new suit and Colt spent $150 on his. Thus, Case's suit is more likely to wear out first.",0,0
27,"Case spent $5000 on his new suit and Colt spent $150 on his. Thus, Colt's suit is more likely to wear out first.",0,1
28,It is easier for one person to eat an entire large pizza than an entire small pizza themselves.,1,0
29,It is easier for one person to eat an entire small pizza than an entire large pizza themselves.,1,1
30,It is better to have red wine with fish than white wine,1,0
31,It is better to have white wine with fish than red wine,1,1
32,"Since my friend's birthday is today, I should have wished her a happy birthday yesterday rather than now.",1,0
33,"Since my friend's birthday is today, I should wish her a happy birthday today rather than yesterday.",1,1
34,"Jill is not rational, so I would not believe what she tells me about the virus.",1,1
35,"Jill is rational, so I would believe what she tells me about the virus.",1,0
36,Sam went to a seminary school while Paul is a bus driver. Paul is more like to recite the book of Job by heart than Sam.,0,0
37,Sam went to a seminary school while Paul is a bus driver. Sam is more like to recite the book of Job by heart than Paul.,0,1
38,Laura is trying to avoid Josh since she owes him a sum of money.,1,1
39,Laura is trying to avoid Josh since he owes her a sum of money.,1,0
40,"Jeff has 200 friends that he talks to regularly, while Matt only has 2. Jeff is likely to receive more phone calls from friends.",1,1
41,"Jeff has 200 friends that he talks to regularly, while Matt only has 2. Matt is likely to receive more phone calls from friends.",1,0
42,"If you go to the grocery store and buy flour with the intention of turning it into a cake, you will have to wait about 18 minutes for it to be ready.",1,0
43,"If you go to the grocery store and buy flour with the intention of turning it into a cake, you will have to wait about 180 minutes for it to be ready.",1,1
44,"Gavin went to the mall a few days before Christmas expecting a lot of people, but he was pleasantly surprised to see only a handful of people.",1,1
45,"Gavin went to the mall a few days before Christmas expecting a lot of people, but he was pleasantly surprised to see only thousands of people.",1,0
46,"Sarah usually stays up late on Friday nights, whereas her roommate Julie usually goes to bed at nine pm. Saturday morning Julie sleeps in and Sarah is up early.",0,0
47,"Sarah usually stays up late on Friday nights, whereas her roommate Julie usually goes to bed at nine pm. Saturday morning Sarah sleeps in and Julie is up early.",0,1
48,Amy wanted to make a pizza for dinner so she put the pizza in the oven for 2 hours rather than 15 minutes.,1,0
49,Amy wanted to make a pizza for dinner so she put the pizza in the oven for 15 minutes rather than 2 hours.,1,1
50,People prefers listening to voice mail to answering the phone directly for spam calls.,1,1
51,People prefers answering the phone directly to listening to voice mail for spam calls.,1,0
52,Amber has a class in a few minutes she would prefer to go grocery shopping before going to class instead of eating a quick lunch.,1,0
53,"Amber has a class in a few minutes, she would prefer to eat a quick lunch before going to class instead of going grocery shopping.",1,1
54,"If someone tutors you for a test, you will likely score an A.",1,1
55,"If someone tutors you for a test, you will likely score a D.",1,0
56,"John needed to buy a cake for his mother's birthday tomorrow, so he planned to go to the bakery next week to get one.",1,0
57,"John needed to buy a cake for his mother's birthday tomorrow, so he planned to go to the bakery this afternoon to get one.",1,1
58,David takes care of his three younger siblings so he spends a lot of time at his house.,1,1
59,David takes care of his three younger siblings so he spends a lot of time away from his house.,1,0
60,If you do not have a drain cleaning tool you could try using a hanger.,1,1
61,If you do not have a drain cleaning tool you could try using a cord.,1,0
62,"The hikers wanted to catch the sunrise at the summit, so they started climbing at noon.",1,0
63,"The hikers wanted to catch the sunrise at the summit, so they started climbing at midnight.",1,1
64,My piano weighs 1000 pounds so I don't need any help with the heavy lifting.,1,0
65,My piano weighs 1000 pounds so I need at least four people to help me with the heavy lifting.,1,1
66,"I am five feet tall, so I can take things from the lower shelves in a supermarket.",1,1
67,"I am five feet tall, so I can take things from the higher shelves in a supermarket.",1,0
68,"As she contemplates going vegan, Beth looks for inspiration by deciding to visit the steakhouse rather than the animal sanctuary.",1,0
69,"As she contemplates going vegan, Beth looks for inspiration by deciding to visit the animal sanctuary rather than the steakhouse.",1,1
70,A shirt bought fifty years ago is in much better shape than one bought yesterday.,1,0
71,A shirt bought yesterday is in much better shape than one bought fifty years ago.,1,1
72,"It's 2 pm and the movie is at 4 pm, so I have time to go buy snacks.",1,1
73,"It's 2 pm and the movie is at 2 pm, so I have time to go buy snacks.",1,0
74,"Since Joe would only drink coffee that he'd heated in the microwave for at least a minute, he decided to heat it for 65 seconds instead of 650 seconds.",1,1
75,"Since Joe would only drink coffee that he'd heated in the microwave for at least a minute, he decided to heat it for 650 seconds instead of 65 seconds.",1,0
76,Jonah is trying to lose weight. He is not likely to turn down his friend's invite to go to a buffet.,0,0
77,Jonah is trying to lose weight. He is likely to turn down his friend's invite to go to a buffet.,0,1
78,The sun shines brightly in the blue clear sky. You should stare at it directly.,1,0
79,The sun shines brightly in the blue clear sky. You should not stare at it directly.,1,1
80,"If I spill water on the floor, I would use my handkerchief to clean it up.",1,1
81,"If I spill water on the floor, I would use my hair to clean it up.",1,0
82,Laura got her paper accepted for publication in January. She decided to start final revision on the paper February of the year.,0,1
83,Laura got her paper accepted for publication in March. She decided to start final revision on the paper February of the year.,0,0
84,Jane is a British fashion designer who loves input from exotic parts of the world. She's likely to be interested in fashion ideas from her neighbor.,1,0
85,Jane is a British fashion designer who loves input from exotic parts of the world. She's likely to be interested in fashion ideas from Madagascar.,0,1
86,"The intern stole some paper, but Alex stole data. That is why the boss is most angry at the intern.",0,1
87,"The intern stole some paper, but Alex stole data. That is why the boss is most angry at Alex.",0,0
88,"Jerry keeps the pair of rain coat with her, because the weather is too hot.",1,0
89,Jerry keeps the pair of rain coat with her in case of rainy days.,1,1
90,Erica usually gets off work at 5 pm. She often sees the janitor that comes in for a night shift.,0,0
91,Erica usually gets off work at 5 pm. She rarely sees the janitor that comes in for a night shift.,0,1
92,Tommy is a pescatarian and Otto is a vegetarian. Therefore Tommy is more likely to eat fish.,0,1
93,Tommy is a pescatarian and Otto is a vegetarian. Therefore Otto is more likely to eat fish.,1,0
94,"Robert wanted to watch a movie in the evening show at 7pm, he left the office 30 minutes before 7pm.",1,1
